2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","5430","5430","5320","5380","465200","2690"
"2018-01-05","5390","5450","5370","5420","310300","2710"
"2018-01-09","5400","5440","5360","5420","470100","2710"
"2018-01-10","5400","5490","5400","5470","431800","2735"
"2018-01-11","5450","5500","5440","5490","270900","2745"
"2018-01-12","5500","5570","5460","5460","433000","2730"
"2018-01-15","5470","5620","5470","5590","520900","2795"
"2018-01-16","5600","5700","5580","5690","436400","2845"
"2018-01-17","5770","6030","5760","5970","1155700","2985"
"2018-01-18","6080","6150","5950","5990","601800","2995"
"2018-01-19","6060","6180","6040","6140","471600","3070"
"2018-01-22","6240","6290","6140","6230","403200","3115"
"2018-01-23","6290","6500","6240","6470","861600","3235"
"2018-01-24","6480","6480","6360","6420","459300","3210"
"2018-01-25","6430","6530","6320","6500","563100","3250"
"2018-01-26","6680","6730","6530","6550","627400","3275"
"2018-01-29","6530","6530","6330","6380","503200","3190"
"2018-01-30","6330","6400","6160","6210","817700","3105"
"2018-01-31","6710","6730","6470","6500","1270800","3250"
"2018-02-01","6650","6800","6580","6790","824900","3395"
"2018-02-02","6750","6950","6700","6940","790800","3470"
"2018-02-05","6660","6770","6640","6680","745200","3340"
"2018-02-06","6080","6450","6080","6280","1134900","3140"
"2018-02-07","6580","6660","6410","6420","716000","3210"
"2018-02-08","6520","6570","6440","6490","622600","3245"
"2018-02-09","6200","6380","6200","6370","594100","3185"
"2018-02-13","6470","6510","6340","6370","415000","3185"
"2018-02-14","6400","6420","6240","6330","438600","3165"
"2018-02-15","6370","6380","6270","6320","404600","3160"
"2018-02-16","6520","6660","6490","6610","613100","3305"
"2018-02-19","6710","6740","6650","6710","564500","3355"
"2018-02-20","6700","6740","6650","6700","283700","3350"
"2018-02-21","6710","6980","6640","6850","696900","3425"
"2018-02-22","6860","6910","6690","6770","455100","3385"
"2018-02-23","6820","6900","6810","6900","302800","3450"
"2018-02-26","6950","6960","6820","6840","346300","3420"
"2018-02-27","6930","7030","6880","7020","513800","3510"
"2018-02-28","7010","7120","6950","6960","556800","3480"
"2018-03-01","6910","6930","6840","6900","329700","3450"
"2018-03-02","6800","6990","6780","6950","441700","3475"
"2018-03-05","6900","6940","6790","6920","374600","3450"
"2018-03-06","6990","7170","6930","7140","448300","3570"
"2018-03-07","7160","7220","7040","7090","515500","3545"
"2018-03-08","7200","7470","7150","7460","813200","3730"
"2018-03-09","7580","7590","7330","7430","693300","3715"
"2018-03-12","7520","7540","7430","7520","467300","3760"
"2018-03-13","7590","7850","7590","7840","664100","3920"
"2018-03-14","7770","7780","7440","7480","1092600","3740"
"2018-03-15","7460","7520","7270","7430","842800","3715"
"2018-03-16","7470","7470","7190","7230","943300","3615"
"2018-03-19","7150","7230","7070","7120","611800","3560"
"2018-03-20","7000","7140","6940","7120","475700","3560"
"2018-03-22","7210","7460","7200","7430","677500","3715"
"2018-03-23","7130","7170","6980","7030","786500","3515"
"2018-03-26","6950","7060","6770","7040","566200","3520"
"2018-03-27","7230","7380","7200","7250","771100","3625"
