1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","20080","20130","19820","20130","460311","20130"
"2019-01-07","20750","20880","20620","20630","484713","20630"
"2019-01-08","20800","20960","20720","20820","223498","20820"
"2019-01-09","20980","21120","20940","21040","286536","21040"
"2019-01-10","20900","20970","20700","20780","296219","20780"
"2019-01-11","20960","21000","20900","20970","189953","20970"
"2019-01-15","20830","21190","20800","21150","312025","21150"
"2019-01-16","21200","21200","20930","21050","173808","21050"
"2019-01-17","21150","21180","20950","21020","125343","21020"
"2019-01-18","21080","21310","21070","21280","262316","21280"
"2019-01-21","21490","21520","21300","21330","229267","21330"
"2019-01-22","21410","21440","21170","21220","176331","21220"
"2019-01-23","21060","21320","21060","21220","203807","21220"
"2019-01-24","21130","21250","21080","21190","107853","21190"
"2019-01-25","21220","21470","21220","21400","335366","21400"
"2019-01-28","21390","21390","21230","21260","167840","21260"
"2019-01-29","21140","21300","21020","21260","141376","21260"
"2019-01-30","21320","21330","21140","21180","209323","21180"
"2019-01-31","21520","21520","21310","21390","378441","21390"
"2019-02-01","21420","21550","21360","21400","305859","21400"
"2019-02-04","21430","21540","21430","21490","101341","21490"
"2019-02-05","21580","21590","21440","21450","154755","21450"
"2019-02-06","21550","21580","21480","21490","131268","21490"
"2019-02-07","21510","21540","21280","21370","173929","21370"
"2019-02-08","21110","21180","20920","20960","336000","20960"
"2019-02-12","21060","21510","21040","21480","1158110","21480"
"2019-02-13","21620","21840","21620","21760","1493165","21760"
"2019-02-14","21780","21870","21730","21750","213760","21750"
"2019-02-15","21630","21630","21470","21510","174791","21510"
"2019-02-18","21900","21940","21820","21920","439734","21920"
"2019-02-19","21900","21980","21850","21950","164817","21950"
"2019-02-20","21980","22140","21950","22050","389451","22050"
"2019-02-21","22050","22200","21950","22110","459709","22110"
"2019-02-22","22020","22100","21990","22070","209329","22070"
"2019-02-25","22200","22240","22140","22190","200970","22190"
"2019-02-26","22260","22270","22060","22100","228886","22100"
"2019-02-27","22150","22240","22150","22230","146448","22230"
"2019-02-28","22200","22200","22020","22020","165705","22020"
"2019-03-01","22130","22300","22130","22280","286898","22280"
"2019-03-04","22460","22530","22400","22510","456822","22510"
"2019-03-05","22390","22460","22320","22370","173992","22370"
"2019-03-06","22330","22350","22210","22280","273145","22280"
"2019-03-07","22110","22130","22050","22100","250752","22100"
"2019-03-08","21970","21980","21630","21660","356545","21660"
"2019-03-11","21710","21800","21580","21800","152822","21800"
"2019-03-12","22040","22230","22030","22170","190476","22170"
"2019-03-13","22090","22130","21840","21950","123931","21950"
"2019-03-14","22160","22180","21940","21960","117678","21960"
"2019-03-15","22040","22180","22040","22120","193997","22120"
"2019-03-18","22240","22280","22160","22250","95744","22250"
"2019-03-19","22230","22240","22090","22220","86611","22220"
"2019-03-20","22220","22280","22160","22260","265979","22260"
"2019-03-22","22260","22320","22140","22190","121101","22190"
"2019-03-25","21810","21860","21530","21610","410926","21610"
"2019-03-26","21810","22100","21810","22050","249126","22050"
"2019-03-27","22170","22210","22070","22190","129108","22190"
"2019-03-28","22030","22030","21790","21850","291830","21850"
"2019-03-29","22070","22120","21970","22030","114123","22030"
"2019-04-01","22380","22520","22300","22330","551425","22330"
"2019-04-02","22570","22590","22320","22320","181869","22320"
"2019-04-03","22390","22560","22320","22520","187106","22520"
"2019-04-04","22560","22630","22500","22560","237403","22560"
"2019-04-05","22570","22680","22570","22630","239838","22630"
"2019-04-08","22750","22760","22580","22620","316081","22620"
"2019-04-09","22610","22660","22540","22620","92699","22620"
"2019-04-10","22420","22530","22390","22530","106863","22530"
"2019-04-11","22500","22560","22460","22550","81779","22550"
"2019-04-12","22680","22720","22540","22710","170390","22710"
"2019-04-15","22940","23060","22940","23030","849297","23030"
"2019-04-16","23000","23110","22980","23070","271717","23070"
"2019-04-17","23110","23200","23030","23140","318681","23140"
"2019-04-18","23130","23150","22910","22930","187198","22930"
"2019-04-19","23100","23110","23030","23050","137955","23050"
"2019-04-22","23060","23150","22960","23080","105240","23080"
"2019-04-23","23100","23130","22980","23120","192546","23120"
"2019-04-24","23200","23230","22980","23060","353609","23060"
"2019-04-25","23060","23200","23030","23170","211249","23170"
"2019-04-26","23030","23140","22930","23120","329208","23120"
"2019-05-07","23000","23020","22740","22790","367653","22790"
"2019-05-08","22470","22490","22360","22450","399687","22450"
"2019-05-09","22360","22400","22160","22270","356703","22270"
"2019-05-10","22260","22440","22010","22210","357277","22210"
"2019-05-13","22020","22110","21960","22020","191955","22020"
"2019-05-14","21670","21920","21580","21920","755880","21920"
"2019-05-15","21960","22020","21800","22020","210364","22020"
"2019-05-16","21990","21990","21770","21900","217497","21900"
"2019-05-17","22100","22230","22030","22110","212176","22110"
"2019-05-20","22130","22270","22130","22170","110310","22170"
"2019-05-21","22050","22160","21990","22110","168050","22110"
"2019-05-22","22240","22240","22110","22120","92777","22120"
"2019-05-23","22020","22050","21910","21970","138758","21970"
"2019-05-24","21760","21950","21740","21950","312247","21950"
"2019-05-27","22000","22070","21950","22020","48302","22020"
"2019-05-28","22050","22140","22030","22100","140814","22100"
"2019-05-29","21880","21900","21710","21830","250440","21830"
"2019-05-30","21700","21770","21630","21740","333189","21740"
"2019-05-31","21620","21640","21400","21410","647805","21410"
