2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2166","2219","2161","2192","1046800","2192"
"2019-01-07","2311","2331","2271","2314","989300","2314"
"2019-01-08","2337","2389","2317","2369","1217000","2369"
"2019-01-09","2431","2488","2430","2455","1411100","2455"
"2019-01-10","2455","2505","2434","2452","1461400","2452"
"2019-01-11","2459","2531","2448","2487","1154400","2487"
"2019-01-15","2463","2588","2462","2566","1187700","2566"
"2019-01-16","2578","2579","2522","2558","744700","2558"
"2019-01-17","2589","2600","2543","2558","642700","2558"
"2019-01-18","2570","2611","2548","2599","583700","2599"
"2019-01-21","2660","2687","2596","2601","955000","2601"
"2019-01-22","2619","2647","2570","2608","963100","2608"
"2019-01-23","2567","2589","2505","2532","991100","2532"
"2019-01-24","2536","2597","2520","2596","862800","2596"
"2019-01-25","2562","2625","2550","2590","612800","2590"
"2019-01-28","2590","2633","2546","2553","731300","2553"
"2019-01-29","2536","2591","2523","2586","445400","2586"
"2019-01-30","2581","2595","2524","2543","824000","2543"
"2019-01-31","2550","2739","2520","2717","1578000","2717"
"2019-02-01","2712","2763","2665","2685","1085900","2685"
"2019-02-04","2650","2718","2641","2718","650600","2718"
"2019-02-05","2773","2860","2737","2853","1458100","2853"
"2019-02-06","2858","2879","2824","2848","860200","2848"
"2019-02-07","2845","2876","2812","2833","543000","2833"
"2019-02-08","2753","2781","2696","2724","688600","2724"
"2019-02-12","2774","2842","2745","2830","657100","2830"
"2019-02-13","2875","2975","2874","2960","1266100","2960"
"2019-02-14","2990","2995","2944","2946","713300","2946"
"2019-02-15","2920","2920","2861","2878","565100","2878"
"2019-02-18","2968","2983","2929","2980","662600","2980"
"2019-02-19","2963","2969","2933","2945","448300","2945"
"2019-02-20","2970","2972","2898","2905","678800","2905"
"2019-02-21","2881","2903","2841","2895","756000","2895"
"2019-02-22","2878","2895","2849","2859","449200","2859"
"2019-02-25","2869","2898","2860","2879","537200","2879"
"2019-02-26","2890","2926","2848","2867","575700","2867"
"2019-02-27","2888","2899","2858","2859","843500","2859"
"2019-02-28","2865","2870","2809","2810","694500","2810"
"2019-03-01","2830","2888","2822","2830","955100","2830"
"2019-03-04","2859","2924","2831","2920","929500","2920"
"2019-03-05","2902","2902","2858","2877","551700","2877"
"2019-03-06","2878","2903","2869","2895","543900","2895"
"2019-03-07","2888","2897","2817","2819","793600","2819"
"2019-03-08","2771","2811","2763","2802","976200","2802"
"2019-03-11","2800","2809","2741","2787","585600","2787"
"2019-03-12","2850","2887","2837","2873","509000","2873"
"2019-03-13","2874","2901","2807","2826","453200","2826"
"2019-03-14","2861","2899","2835","2843","397700","2843"
"2019-03-15","2868","2935","2868","2917","519400","2917"
"2019-03-18","2950","3020","2950","3005","772900","3005"
"2019-03-19","3025","3035","2972","3025","837100","3025"
"2019-03-20","3025","3095","3015","3070","716100","3070"
"2019-03-22","3085","3125","3065","3120","737400","3120"
"2019-03-25","2999","3030","2964","3025","769000","3025"
"2019-03-26","3060","3110","3050","3105","895700","3105"
"2019-03-27","3080","3100","3050","3080","895000","3080"
"2019-03-28","3030","3040","3000","3025","461500","3025"
"2019-03-29","3070","3090","3005","3030","592300","3030"
"2019-04-01","3070","3100","3035","3040","538000","3040"
"2019-04-02","3085","3085","2999","3000","417200","3000"
"2019-04-03","3005","3045","2952","3035","459100","3035"
"2019-04-04","3050","3090","3025","3050","401400","3050"
"2019-04-05","3050","3080","3035","3065","385300","3065"
"2019-04-08","3040","3085","3040","3065","310500","3065"
"2019-04-09","3055","3085","3050","3075","331100","3075"
"2019-04-10","3035","3080","3010","3060","295100","3060"
"2019-04-11","3055","3075","3040","3055","283500","3055"
"2019-04-12","3060","3085","3050","3085","294300","3085"
"2019-04-15","3100","3170","3100","3145","566500","3145"
"2019-04-16","3150","3160","3135","3150","350600","3150"
"2019-04-17","3160","3215","3125","3155","510200","3155"
"2019-04-18","3175","3180","3100","3110","375400","3110"
"2019-04-19","3140","3190","3135","3145","335100","3145"
"2019-04-22","3145","3170","3090","3110","279200","3110"
"2019-04-23","3110","3145","3070","3135","450300","3135"
"2019-04-24","3135","3185","3125","3145","513500","3145"
"2019-04-25","3125","3140","3095","3125","378800","3125"
"2019-04-26","3135","3165","3080","3150","462300","3150"
"2019-05-07","2840","2959","2814","2890","1656300","2890"
"2019-05-08","2869","2910","2810","2850","1392700","2850"
"2019-05-09","2849","2868","2812","2819","832100","2819"
"2019-05-10","2836","2933","2816","2856","861800","2856"
"2019-05-13","2877","2900","2843","2868","578900","2868"
"2019-05-14","2720","2864","2716","2862","676500","2862"
"2019-05-15","2894","2919","2852","2900","535900","2900"
"2019-05-16","2911","2911","2820","2827","565100","2827"
"2019-05-17","2874","2902","2850","2900","495300","2900"
"2019-05-20","2948","2971","2916","2924","624900","2924"
"2019-05-21","2900","2904","2872","2885","605200","2885"
"2019-05-22","2890","2961","2884","2947","463400","2947"
"2019-05-23","2916","2974","2911","2966","599900","2966"
"2019-05-24","2932","2962","2877","2961","575000","2961"
"2019-05-27","2960","3005","2952","2994","363300","2994"
"2019-05-28","3010","3025","2986","3010","465200","3010"
"2019-05-29","3015","3025","2955","2968","430800","2968"
"2019-05-30","2929","2947","2847","2865","723500","2865"
"2019-05-31","2822","2825","2701","2703","1170400","2703"
