6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","5148","5185","5025","5182","9040000","5182"
"2019-01-07","5403","5482","5335","5370","6878000","5370"
"2019-01-08","5395","5408","5310","5376","5764200","5376"
"2019-01-09","5439","5465","5373","5413","5033800","5413"
"2019-01-10","5349","5385","5223","5246","6571100","5246"
"2019-01-11","5287","5342","5280","5320","5670700","5320"
"2019-01-15","5392","5458","5300","5447","7343800","5447"
"2019-01-16","5472","5480","5317","5356","4434800","5356"
"2019-01-17","5392","5410","5340","5366","3914600","5366"
"2019-01-18","5367","5435","5355","5429","3983700","5429"
"2019-01-21","5509","5522","5416","5436","3491800","5436"
"2019-01-22","5421","5429","5330","5352","3784800","5352"
"2019-01-23","5351","5388","5290","5349","3909600","5349"
"2019-01-24","5242","5283","5215","5259","5336500","5259"
"2019-01-25","5283","5373","5283","5324","6737000","5324"
"2019-01-28","5361","5404","5324","5373","4011500","5373"
"2019-01-29","5340","5378","5281","5349","4300900","5349"
"2019-01-30","5321","5330","5280","5281","4806800","5281"
"2019-01-31","5399","5467","5388","5467","6314000","5467"
"2019-02-01","5500","5568","5458","5499","6193600","5499"
"2019-02-04","5099","5117","5011","5055","21628000","5055"
"2019-02-05","5099","5143","5002","5037","11266200","5037"
"2019-02-06","5039","5051","4828","4839","19028100","4839"
"2019-02-07","4775","4822","4704","4713","13001700","4713"
"2019-02-08","4919","5030","4900","4906","18692900","4906"
"2019-02-12","4949","4959","4818","4854","13583000","4854"
"2019-02-13","4873","4992","4873","4980","12017200","4980"
"2019-02-14","5011","5039","4952","5038","9559400","5038"
"2019-02-15","5001","5066","4968","5046","8126200","5046"
"2019-02-18","5058","5086","5010","5080","7346500","5080"
"2019-02-19","5082","5149","5073","5149","7419300","5149"
"2019-02-20","5160","5277","5156","5274","11952400","5274"
"2019-02-21","5260","5358","5228","5340","11638900","5340"
"2019-02-22","5260","5342","5250","5313","7374000","5313"
"2019-02-25","5345","5398","5336","5377","7084600","5377"
"2019-02-26","5390","5437","5306","5331","7105000","5331"
"2019-02-27","5348","5414","5339","5382","7939000","5382"
"2019-02-28","5400","5413","5334","5341","6069200","5341"
"2019-03-01","5358","5378","5308","5315","6311400","5315"
"2019-03-04","5399","5409","5317","5326","7139900","5326"
"2019-03-05","5289","5344","5271","5326","5958000","5326"
"2019-03-06","5330","5364","5309","5331","6581300","5331"
"2019-03-07","5286","5298","5221","5229","7195200","5229"
"2019-03-08","5140","5206","5060","5063","9633100","5063"
"2019-03-11","5015","5042","4961","5025","8416600","5025"
"2019-03-12","5144","5173","5120","5153","7810900","5153"
"2019-03-13","5153","5212","5108","5166","6844100","5166"
"2019-03-14","5200","5225","5128","5128","5176400","5128"
"2019-03-15","5097","5164","5072","5119","7371000","5119"
"2019-03-18","5113","5150","5085","5147","5964000","5147"
"2019-03-19","5147","5158","5096","5124","4887500","5124"
"2019-03-20","4900","4973","4895","4951","13554700","4951"
"2019-03-22","4765","4786","4680","4709","18504100","4709"
"2019-03-25","4550","4638","4507","4630","12922700","4630"
"2019-03-26","4652","4769","4643","4769","12663100","4769"
"2019-03-27","4780","4786","4703","4765","7537800","4765"
"2019-03-28","4710","4718","4646","4673","8269000","4673"
"2019-03-29","4700","4704","4637","4645","6750400","4645"
"2019-04-01","4711","4776","4696","4756","7344200","4756"
"2019-04-02","4804","4804","4676","4680","8907200","4680"
"2019-04-03","4687","4734","4682","4725","7463600","4725"
"2019-04-04","4695","4726","4647","4662","9072200","4662"
"2019-04-05","4714","4818","4713","4816","9799000","4816"
"2019-04-08","4877","4888","4767","4805","6311000","4805"
"2019-04-09","5150","5250","5061","5250","23197300","5250"
"2019-04-10","5100","5178","5063","5121","12260600","5121"
"2019-04-11","5057","5152","5050","5126","5545300","5126"
"2019-04-12","5166","5223","5120","5201","7174300","5201"
"2019-04-15","5275","5335","5216","5220","6734600","5220"
"2019-04-16","5290","5374","5281","5354","8684500","5354"
"2019-04-17","5356","5416","5321","5363","5946000","5363"
"2019-04-18","5331","5365","5280","5299","5575000","5299"
"2019-04-19","5355","5378","5319","5331","4632900","5331"
"2019-04-22","5290","5355","5278","5310","3337000","5310"
"2019-04-23","5300","5328","5277","5288","3632100","5288"
"2019-04-24","5369","5374","5168","5179","10300900","5179"
"2019-04-25","5219","5267","5183","5257","5362700","5257"
"2019-04-26","5151","5237","5125","5212","5976100","5212"
"2019-05-07","5500","5571","5386","5408","20287100","5408"
"2019-05-08","5399","5444","5328","5368","10428700","5368"
"2019-05-09","5270","5353","5231","5330","7872500","5330"
"2019-05-10","5395","5505","5351","5408","9821200","5408"
"2019-05-13","5349","5409","5320","5371","5092900","5371"
"2019-05-14","5210","5270","5196","5263","6608100","5263"
"2019-05-15","5299","5473","5282","5473","7892600","5473"
"2019-05-16","5430","5430","5335","5369","5883200","5369"
"2019-05-17","5700","5956","5680","5900","27282100","5900"
"2019-05-20","5805","5879","5741","5870","13108300","5870"
"2019-05-21","5758","5773","5594","5610","12528300","5610"
"2019-05-22","5690","5690","5558","5574","8377400","5574"
"2019-05-23","5478","5490","5353","5366","10611500","5366"
"2019-05-24","5277","5410","5247","5360","8565300","5360"
"2019-05-27","5355","5440","5316","5423","4831100","5423"
"2019-05-28","5433","5490","5423","5458","7258000","5458"
"2019-05-29","5370","5385","5303","5314","6810800","5314"
"2019-05-30","5261","5346","5221","5336","6159700","5336"
"2019-05-31","5261","5331","5242","5257","5939100","5257"
